SCC_ID, is_root, number_of_nodes, nodes
0, False, 1, E
1, False, 1, pi
2, False, 1, D
3, False, 1, D_0
4, False, 1, I_0
5, True, 1, Fl
6, False, 1, F
7, False, 1, d
8, False, 1, M
9, False, 1, L
10, True, 1, b
