ID, is_sensor, SCC_ID, pagerank, authority, hub, indegree
F, True, 38, 0.02421308454607449, 0.0, 0.5, 0
X, False, 0, 0.024308657356744832, 0.013157894736842105, 0.0, 1
D, False, 1, 0.024404230167415174, 0.02631578947368421, 0.0, 2
Teta, False, 2, 0.024404230167415174, 0.02631578947368421, 0.0, 2
E, False, 3, 0.024404230167415174, 0.02631578947368421, 0.0, 2
I, False, 4, 0.024404230167415174, 0.02631578947368421, 0.0, 2
M_1, False, 5, 0.024404230167415174, 0.02631578947368421, 0.0, 2
M_2, False, 6, 0.024404230167415174, 0.02631578947368421, 0.0, 2
M_3, False, 7, 0.024404230167415174, 0.02631578947368421, 0.0, 2
M_4, False, 8, 0.024404230167415174, 0.02631578947368421, 0.0, 2
M_5, False, 9, 0.024404230167415174, 0.02631578947368421, 0.0, 2
M_6, False, 10, 0.024404230167415174, 0.02631578947368421, 0.0, 2
M_7, False, 11, 0.024404230167415174, 0.02631578947368421, 0.0, 2
M_8, False, 12, 0.024404230167415174, 0.02631578947368421, 0.0, 2
M_9, False, 13, 0.024404230167415174, 0.02631578947368421, 0.0, 2
M_10, False, 14, 0.024404230167415174, 0.02631578947368421, 0.0, 2
M_11, False, 15, 0.024404230167415174, 0.02631578947368421, 0.0, 2
DM_1, False, 16, 0.024404230167415174, 0.02631578947368421, 0.0, 2
DM_2, False, 17, 0.024404230167415174, 0.02631578947368421, 0.0, 2
DM_3, False, 18, 0.024404230167415174, 0.02631578947368421, 0.0, 2
DM_4, False, 19, 0.024404230167415174, 0.02631578947368421, 0.0, 2
DM_5, False, 20, 0.024404230167415174, 0.02631578947368421, 0.0, 2
DM_6, False, 21, 0.024404230167415174, 0.02631578947368421, 0.0, 2
DM_7, False, 22, 0.024404230167415174, 0.02631578947368421, 0.0, 2
DM_8, False, 23, 0.024404230167415174, 0.02631578947368421, 0.0, 2
DM_9, False, 24, 0.024404230167415174, 0.02631578947368421, 0.0, 2
DM_10, False, 25, 0.024404230167415174, 0.02631578947368421, 0.0, 2
DM_11, False, 26, 0.024404230167415174, 0.02631578947368421, 0.0, 2
LC_1, False, 27, 0.024404230167415174, 0.02631578947368421, 0.0, 2
LC_2, False, 28, 0.024404230167415174, 0.02631578947368421, 0.0, 2
LC_3, False, 29, 0.024404230167415174, 0.02631578947368421, 0.0, 2
LC_4, False, 30, 0.024404230167415174, 0.02631578947368421, 0.0, 2
LC_5, False, 31, 0.024404230167415174, 0.02631578947368421, 0.0, 2
LC_6, False, 32, 0.024404230167415174, 0.02631578947368421, 0.0, 2
LC_7, False, 33, 0.024404230167415174, 0.02631578947368421, 0.0, 2
LC_8, False, 34, 0.024404230167415174, 0.02631578947368421, 0.0, 2
LC_9, False, 35, 0.024404230167415174, 0.02631578947368421, 0.0, 2
LC_10, False, 36, 0.024404230167415174, 0.02631578947368421, 0.0, 2
LC_11, False, 37, 0.024404230167415174, 0.02631578947368421, 0.0, 2
G, True, 40, 0.02421308454607449, 0.0, 0.5, 0
Y, False, 39, 0.024308657356744832, 0.013157894736842105, 0.0, 1
