ID, is_sensor, SCC_ID, pagerank, authority, hub, indegree
x1, False, 0, 0.10175423771931817, 0.22238768075850146, 0.13168681250339676, 6
x2, False, 0, 0.10175423771931817, 0.22238768075850146, 0.13168681250339676, 6
x3, False, 0, 0.10175423771931817, 0.22238768075850146, 0.13168681250339676, 6
x4, True, 1, 0.08633830109971591, 0.04422173528624197, 0.14914407255590853, 2
x5, False, 1, 0.08633830109971591, 0.04422173528624197, 0.017457260052511768, 2
x6, True, 2, 0.07727272727272727, 0.0, 0.13168681250339676, 0
x7, False, 4, 0.08682335487272727, 0.030384412257368945, 0.048239181849566826, 3
x8, True, 4, 0.08682335487272727, 0.030384412257368945, 0.048239181849566826, 3
x9, False, 4, 0.08682335487272727, 0.030384412257368945, 0.017992122523671286, 3
x10, False, 3, 0.09215894637585229, 0.07662012518995256, 0.1619338718292923, 4
x11, False, 3, 0.09215894637585227, 0.07662012518995256, 0.03024705932589555, 4
